date,series,log_return,hl_range,gap,log_volume,close
2015-04-08,CIPLA.NS,1.1605141266950867,2.923986198741125,0.520488496961384,14.630495653146975,681.6402587890625
2015-04-09,CIPLA.NS,-2.369380050231495,3.6445015438372663,0.6764016521778636,14.158887473759016,665.679443359375
2015-04-10,CIPLA.NS,-2.5765037574633753,3.113838866332769,-1.3221946531959576,14.527583020281018,648.7472534179688
2015-04-13,CIPLA.NS,1.5917407248864697,3.3583087656983777,0.12112255890088616,14.219352349206275,659.15625
2015-04-15,CIPLA.NS,-2.775358412592585,3.823936135063702,0.1473066492573568,14.288420584542514,641.1138305664062
2015-04-16,CIPLA.NS,-2.0485712207249467,3.274192503697425,0.360138839201718,14.396347574348423,628.11376953125
2015-04-17,CIPLA.NS,0.22806510024289242,2.4834168362783657,0.022088215749267094,14.61832840213476,629.5479125976562
2015-04-20,CIPLA.NS,-3.0440877959798507,3.7771313893512617,-0.08820936750522813,14.465555542151845,610.6726684570312
2015-04-21,CIPLA.NS,-1.1275430736993277,3.091259306202617,5.753471267100239e-06,14.578250030322915,603.8257446289062
2015-04-22,CIPLA.NS,0.6262919550596652,3.503785674087295,0.3670843400477631,14.493252179936858,607.6193237304688
2015-04-23,CIPLA.NS,1.0979325764313752,1.7801025033741151,0.5012296962980902,15.096500790725434,614.3273315429688
2015-04-24,CIPLA.NS,-4.041725920891533,4.533465025645743,0.07528081797659683,14.299962431820095,589.9929809570312
2015-04-27,CIPLA.NS,-1.4533046525394508,2.9343897629059637,0.18018609112709752,14.22282196062123,581.4805908203125
2015-04-28,CIPLA.NS,0.5079145196476313,2.5923685009791537,-0.5504686994418536,14.176041059678559,584.4415283203125
2015-04-29,CIPLA.NS,-0.38068334831719247,2.2757026147652986,0.1581917726831212,14.05671954225148,582.2208862304688
2015-04-30,CIPLA.NS,1.0669873818332765,3.5491722597869884,-0.43799151856664353,14.860761801886689,588.4663696289062
2015-05-04,CIPLA.NS,5.758628426100328,6.224092604850622,0.9389661864963283,14.929335216234955,623.3486938476562
2015-05-05,CIPLA.NS,-1.7066269702236878,2.7762886538833005,0.13350096752227558,14.613096579570461,612.8007202148438
2015-05-06,CIPLA.NS,-4.012699670758644,4.780126603175025,-0.04530086353106544,15.107609892265558,588.6976928710938
2015-05-07,CIPLA.NS,-1.3369749335868326,3.5002346114860194,-0.03928109594590212,14.4554642187989,580.8793334960938
2015-05-08,CIPLA.NS,4.195534551885225,4.328676312555654,0.8248633570754292,14.834478087544582,605.768798828125
2015-05-11,CIPLA.NS,1.7262580146407616,1.5725949078075365,1.9287306770321242,14.547018466611709,616.3167114257812
2015-05-12,CIPLA.NS,-0.3006972509630492,3.1075026513445647,-0.12767664358694475,14.814036177543931,614.4662475585938
2015-05-13,CIPLA.NS,1.8647459102648003,2.7699688205923856,0.13542794953452583,14.435267893071169,626.031982421875
2015-05-14,CIPLA.NS,1.3797355490106489,2.613054827311192,0.4056150497168118,14.696048923012288,634.7294311523438
2015-05-15,CIPLA.NS,-0.3870489417066104,2.0672362176103243,-0.16778265687936664,13.9872496508177,632.2774658203125
2015-05-18,CIPLA.NS,0.32143714350431346,1.7470584060494059,-0.007306263952119132,13.670295172562819,634.3131103515625
2015-05-19,CIPLA.NS,-0.4166246021730096,2.1854015820530215,-0.2995132162480638,13.65070430866154,631.6759033203125
2015-05-20,CIPLA.NS,0.8532511751651748,1.3996491366123511,0.17563361094650132,13.693252524423922,637.0887451171875
2015-05-21,CIPLA.NS,-2.0838706645857075,2.8060886372775826,-0.014522278331684783,14.283030480362154,623.9500122070312
2015-05-22,CIPLA.NS,-0.06671632638759852,1.868932380646113,0.24441445988978372,13.98245786769643,623.5338745117188
2015-05-25,CIPLA.NS,-2.0539013814268743,3.0421148016441104,0.37028013952840677,14.103190880414523,610.8577270507812
2015-05-26,CIPLA.NS,-0.174337427344263,2.034075087514954,0.2722796027253535,13.805111676527332,609.793701171875
2015-05-27,CIPLA.NS,0.31056155248809,2.5178095014644106,-0.1898546687599446,14.240312171678886,611.6904296875
2015-05-28,CIPLA.NS,-2.620636717888369,4.0134062104420325,0.5881947372616727,14.796837811952926,595.8684692382812
2015-05-29,CIPLA.NS,0.996583831792219,2.8898395247283135,0.44157791242044775,15.13914223745903,601.8364868164062
2015-06-01,CIPLA.NS,1.775186843074708,4.134857932031817,-0.7639486339677091,14.79215443951552,612.6156005859375
2015-06-02,CIPLA.NS,-3.1919209442975522,4.353671215866086,0.5873113977418438,14.360846588016354,593.3701782226562
2015-06-03,CIPLA.NS,-0.9635985067478376,1.953541522185669,0.14025856883493362,13.94723682232466,587.679931640625
2015-06-04,CIPLA.NS,-0.7427279862519273,2.931195740868701,0.5573730335687279,13.780209751926582,583.3312377929688
2015-06-05,CIPLA.NS,-1.2449498434414543,2.689321767082859,-0.08729854249856603,13.964991207297107,576.1140747070312
2015-06-08,CIPLA.NS,-1.285012251479507,2.0639413200317045,-0.44262721945315,14.244393319906733,568.75830078125
2015-06-09,CIPLA.NS,-3.7712026644816974,3.7242322777897976,-1.0959337158021862,14.44687435184903,547.7086791992188
2015-06-10,CIPLA.NS,0.13502647985471677,2.3951241660736775,-0.32999232472026774,14.23345546838095,548.44873046875
2015-06-11,CIPLA.NS,-3.1533700787573298,4.743465590703487,0.3788780673934955,14.521423903173893,531.4239501953125
2015-06-12,CIPLA.NS,1.2630238930339721,2.453053103722969,-0.043514065844889434,14.3854059011947,538.1785278320312
2015-06-15,CIPLA.NS,0.6938828491130398,3.608019059733293,0.00859664554258684,14.121819566858512,541.9258422851562
2015-06-16,CIPLA.NS,0.7907574810577125,2.7919921998435773,-0.46207788368141806,14.277120937226988,546.2281494140625
2015-06-17,CIPLA.NS,3.748627501717413,4.401775593636301,0.27910795758146817,14.987011718842792,567.0928344726562
2015-06-18,CIPLA.NS,-0.9590848550466319,3.3480714872212913,0.8933548320937389,14.573710190076929,561.679931640625
2015-06-19,CIPLA.NS,-0.06590552530204445,2.587276565603244,-0.008232293546917749,14.517616488814923,561.3098754882812
2015-06-22,CIPLA.NS,1.1228303096707932,1.7150277442633817,0.8780321458067902,14.291398714368814,567.64794921875
2015-06-23,CIPLA.NS,2.7094713642386923,3.0548999371663896,0.8116723528614745,14.346336436555662,583.2384643554688
2015-06-24,CIPLA.NS,-1.3736762554469701,2.8549436965352015,0.2614548908873698,14.11613871703339,575.2814331054688
2015-06-25,CIPLA.NS,-1.7850658089017364,3.2789822822990757,-0.6049910769176567,14.465813909807322,565.1033935546875
2015-06-26,CIPLA.NS,1.390214294136096,1.580580017118791,0.20446372206861804,14.551996403570923,573.014404296875
2015-06-29,CIPLA.NS,-1.357450320045968,2.2735820890100857,-1.5130688776043366,14.122695212703233,565.28857421875
2015-06-30,CIPLA.NS,0.7257478090186863,1.8701312366113036,-0.6156778284387168,14.671171918010714,569.4060668945312
2015-07-01,CIPLA.NS,3.1194833549471785,3.26198417837267,0.5832561604266286,14.397413279707418,587.4485473632812
2015-07-02,CIPLA.NS,-1.355812307587087,1.8622512818596912,1.4024203747453257e-05,13.833619595083128,579.53759765625
2015-07-03,CIPLA.NS,0.8267865252281549,2.047585205944368,-0.01595782399425143,13.876469241622896,584.3489990234375
2015-07-06,CIPLA.NS,3.4471452076776883,5.097646551165162,-0.7230556582737506,14.60119088411776,604.8435668945312
2015-07-07,CIPLA.NS,-1.1075402786683148,2.23383670939627,0.18339885044811763,13.956631576377063,598.181640625
2015-07-08,CIPLA.NS,-0.046426263014093715,3.736500151823298,-0.5428610673404023,14.255867149825859,597.9039916992188
2015-07-09,CIPLA.NS,-0.7845573574510585,2.7163672579728484,0.1237243942715774,13.968767123905103,593.2314453125
2015-07-10,CIPLA.NS,1.0627310962110716,2.56923435153341,0.33477740511472204,14.100322515574083,599.5695190429688
2015-07-13,CIPLA.NS,2.0241467286084673,1.9668799533448416,0.7686613390006625,14.103927110619422,611.829345703125
2015-07-14,CIPLA.NS,0.7082451227138681,1.7118856681162131,0.3773412805995894,13.781165459660468,616.177978515625
2015-07-15,CIPLA.NS,0.6958082818230165,1.48195580879769,0.15753311080230636,13.580487979557478,620.4803466796875
2015-07-16,CIPLA.NS,1.3625875696035084,2.4415909691702495,0.23088226134212042,14.110210199578198,628.9927978515625
2015-07-17,CIPLA.NS,0.7912204301887416,1.339456353880613,0.03677269652063292,13.981712895378331,633.9892578125
2015-07-20,CIPLA.NS,-0.3069319187473412,1.6698061394765127,0.05108728113010437,13.536267443794209,632.0463256835938
2015-07-21,CIPLA.NS,-3.062075611864262,4.248705875779966,-0.014645440822970207,13.835141601913422,612.9859008789062
2015-07-22,CIPLA.NS,1.809918792886713,2.4563944397890025,0.22614509681794445,14.161001291133006,624.1814575195312
2015-07-23,CIPLA.NS,-0.20773348994725072,2.0371594564170628,0.05928755235615466,13.539759691420409,622.8861694335938
2015-07-24,CIPLA.NS,0.7252357096714053,2.0699774733523446,0.26703142830796295,13.979264973934226,627.4199829101562
2015-07-27,CIPLA.NS,-0.4063929811995002,2.313303082239657,-0.1993040174120136,13.602204707398323,624.8753662109375
2015-07-28,CIPLA.NS,-0.5121729614809609,2.2155429587133666,0.23661470967463552,13.631872535008874,621.68310546875
2015-07-29,CIPLA.NS,1.132167909375578,2.480230782056725,0.445545057950455,13.983697692791292,628.7615966796875
2015-07-30,CIPLA.NS,4.531176305153125,4.229811393278272,0.8133806773526899,14.86027787843984,657.9072265625
2015-07-31,CIPLA.NS,-0.2816800685795378,2.51761548924744,1.2369518011274045,14.52437802478588,656.056640625
2015-08-03,CIPLA.NS,0.4573187828431786,1.6808317375114838,0.6676827936196982,13.72852354431422,659.0637817382812
2015-08-04,CIPLA.NS,-0.37272212468038646,2.0900851261347717,0.7900799347973202,14.02841628110192,656.6118774414062
2015-08-05,CIPLA.NS,1.2532947520643516,1.8031132432162331,0.18302278281184045,14.058444187476317,664.8929443359375
2015-08-06,CIPLA.NS,0.6657396643266531,1.8011028399292406,0.22934173408578054,14.133590401013556,669.3341674804688
2015-08-07,CIPLA.NS,-1.1470032034067208,2.128547910644,0.17954158861343672,13.795568020881177,661.7007446289062
2015-08-10,CIPLA.NS,0.014001024182113941,1.7779795540429384,0.3141477441094103,13.726180859378976,661.7933959960938
2015-08-11,CIPLA.NS,0.8307413416786954,2.086078303447418,0.8029271007354202,14.308251230383746,667.3140869140625
2015-08-12,CIPLA.NS,-1.6189859250383192,3.877898798566569,-0.10433842644218277,14.58086490529146,656.5973510742188
2015-08-13,CIPLA.NS,2.491148817974714,2.7075586605281527,0.5847371782072697,14.547724112844799,673.1596069335938
2015-08-14,CIPLA.NS,1.9248327373631045,1.5625317903081033,1.3009360083318016,14.990639962087592,686.2423095703125
2015-08-17,CIPLA.NS,-5.053910542339966,6.087633134496936,0.7207737959081351,15.841305248339332,652.4220581054688
2015-08-18,CIPLA.NS,-2.7904993104748637,4.115101742586535,0.82850740739348,15.602623415058265,634.4678955078125
2015-08-19,CIPLA.NS,1.782789828808893,2.373699798631116,0.46688974084551094,14.768574009098169,645.8805541992188
2015-08-20,CIPLA.NS,-0.6485482448816913,2.8073993891399205,0.20093127384111834,14.634112162581177,641.7052612304688
2015-08-21,CIPLA.NS,0.8351421483912926,4.351845444450562,-1.6914949594743938,14.51454636647222,647.0868530273438
2015-08-24,CIPLA.NS,-9.239647212506048,8.553268422950344,-3.2646429323339414,15.334701610328374,589.977294921875
2015-08-25,CIPLA.NS,1.490758862281548,7.672251731670427,2.046998788124401,15.403096853355702,598.8383178710938
2015-08-26,CIPLA.NS,-1.2394348989687007,2.4172716942896173,0.40204856286703883,14.524337663463442,591.4619140625
2015-08-27,CIPLA.NS,3.6202262556810396,4.252053287636467,2.2568611989137097,15.184113596414981,613.2664794921875
2015-08-28,CIPLA.NS,-0.1665737962112695,3.701630667678036,2.1034453446991987,14.56294893471024,612.2457885742188
2015-08-31,CIPLA.NS,3.3237188867460734,4.463097979208362,-0.0075681637923189,14.59118566317851,632.9370727539062
2015-09-01,CIPLA.NS,-2.824827599150527,4.668608131771021,-0.021986390369886907,14.758400376634336,615.307861328125
2015-09-02,CIPLA.NS,-2.264779389203198,3.905055277602293,0.27857134121662397,14.821416739951271,601.5291137695312
2015-09-03,CIPLA.NS,1.1273692319318958,1.8167824880873005,1.6370079607967918,15.029243972177197,608.3489379882812
2015-09-04,CIPLA.NS,-0.9347681534127911,5.022542109330511,3.0935351977880394,15.303469864526498,602.6887817382812
2015-09-07,CIPLA.NS,0.0,2.253293730536114,0.9880992295405859,14.427925876771885,602.6887817382812
2015-09-08,CIPLA.NS,0.06928615996651154,4.791144252241156,0.37650606366351713,14.603000632476569,603.1065063476562
2015-09-09,CIPLA.NS,0.9874179494212518,2.7162013880541873,1.9576314931471273,14.261058827722895,609.0911865234375
2015-09-10,CIPLA.NS,-0.41981509266702294,2.588341635429641,-1.141398351501525,14.042630194166058,606.5394897460938
2015-09-11,CIPLA.NS,-0.08418097008652287,2.111918591824575,0.9591176008082269,13.981022454065734,606.0291137695312
2015-09-14,CIPLA.NS,1.1493262371391242,1.9033692233302584,0.24468482474666173,13.587601921643742,613.0345458984375
2015-09-15,CIPLA.NS,-0.3639245706536147,2.0447512851346947,0.7914629340188963,13.73393926593405,610.8076171875
2015-09-16,CIPLA.NS,0.5000431299141245,1.3155118459183006,0.2882162400197015,13.853593123673406,613.8695678710938
2015-09-18,CIPLA.NS,-1.4616567753264305,3.336050772621872,0.8128916235706438,14.582212986525516,604.962158203125
2015-09-21,CIPLA.NS,-0.42268650704712607,1.920161913768393,-0.6154019261054389,13.817062353306834,602.4104614257812
2015-09-22,CIPLA.NS,-0.7886012052449407,1.7292406383730001,0.575946108524161,14.330382982375879,597.6785278320312
2015-09-23,CIPLA.NS,-0.31099029049488447,1.643872634315994,-0.8340464951723596,13.909555392101776,595.8226928710938
2015-09-24,CIPLA.NS,0.14784251996081663,1.8297902210385102,-0.3353593624401979,14.571909025280986,596.7042236328125
2015-09-28,CIPLA.NS,-0.1867562156545687,2.28952505376931,0.759056784393821,14.51002080912126,595.5908813476562
2015-09-29,CIPLA.NS,-0.8448340119691412,2.560414423061626,-0.7977142756312579,14.141380358300639,590.580322265625
2015-09-30,CIPLA.NS,-0.07071486820396335,1.3767278505709568,0.2353977252467004,14.958203206908589,590.162841796875
2015-10-01,CIPLA.NS,-0.39382550305154035,2.7413935280164687,1.0712070114775023,14.89567574020254,587.8432006835938
2015-10-05,CIPLA.NS,1.0285484982469397,1.3091513632633687,0.958229890641441,14.71948333437281,593.920654296875
2015-10-06,CIPLA.NS,3.665757254258755,3.838984468734332,0.5918895526213404,14.737191536322587,616.0963134765625
2015-10-07,CIPLA.NS,2.4986481099933395,3.4224439528193518,0.7352530394375475,14.585690073415185,631.684326171875
2015-10-08,CIPLA.NS,-0.08079969612173846,2.5633972880073,1.0520463308770664,14.650288802567848,631.1741333007812
2015-10-09,CIPLA.NS,1.3578685186893644,1.8452223483843935,0.6082069659692738,14.439849314311537,639.8031005859375
2015-10-12,CIPLA.NS,-1.9328390718368136,2.6028648755846575,0.354690746088703,13.795672070025109,627.5554809570312
2015-10-13,CIPLA.NS,0.39840316969685574,1.1074310299093715,-0.014788271578656392,14.010494935100452,630.0606689453125
2015-10-14,CIPLA.NS,0.022094033010759982,3.0147055498861977,-0.8949382994962874,14.013676756153373,630.1998901367188
2015-10-15,CIPLA.NS,-1.2221363643905123,2.150300813450869,0.6676353351666593,14.024457817075726,622.5448608398438
2015-10-16,CIPLA.NS,1.2589327727016275,1.7043761963292543,0.5129105283267237,14.470554960248815,630.4318237304688
2015-10-19,CIPLA.NS,1.3159147009081666,1.8585465224015183,0.00736689787183304,14.583284576044022,638.7825927734375
2015-10-20,CIPLA.NS,-2.180655933462567,4.606792504955749,0.17412719035969465,15.545912397207703,625.0037231445312
2015-10-21,CIPLA.NS,0.6510945367841372,1.4624714806452284,8.411140740996502e-06,14.511333655063922,629.0863647460938
2015-10-23,CIPLA.NS,0.6175739310071618,0.9814789498644222,0.6029090300076607,14.349200001146109,632.9834594726562
